id_replic,replic,html_text,sentiment
760,"Что ж, я тебе не мать и не сестра, а племянница...","Что ж, я тебе не мать и не сестра, а племянница...",neutral
761,"Собственно говоря, некоторым образом... дело, видите ли, в том, что я... пришел проститься с вами... Уезжаю завтра...","Собственно говоря, некоторым образом... дело, видите ли, в том, что я... пришел проститься с вами... Уезжаю завтра...",sadness
762,"Теперь готово, можешь принимать, как сказано.","Теперь готово, можешь принимать, как сказано.",neutral
763,Лошадь-то ихнюю зачем продали-с? Да помилосердуйте — куда же она годилась? Только сено даром ела. А у мужика она все-таки пахать может. А Мартыну Петровичу — коли вздумается куда выехать — стоит только у нас попросить. Мы в экипаже ему не отказываем. В нерабочие дни с нашим удовольствием!,Лошадь-то ихнюю зачем продали-с? Да помилосердуйте — куда же она годилась? Только сено даром ела. А у мужика она все-таки пахать может. А Мартыну Петровичу — коли вздумается куда выехать — стоит только у нас попросить. Мы в экипаже ему не отказываем. В нерабочие дни с нашим удовольствием!,disgust
764,"Ну, что с тобой делать! волоки закуску!","Ну, что с тобой делать! волоки закуску!",joy
765,"Ах, боже мой, разве ты не знаешь? ","Ах, боже мой, разве ты не знаешь? <i>— спохватилась Варя.</i>",surprise
766,"Вы свободны, поймите вы: я говорю вам — вы свободны.","Вы свободны, поймите вы: я говорю вам — вы свободны.",joy
767,"Разумеется, надо смотреть, чтобы крест-накрест брызгал и приговаривал. А он ведь, отец-то Флавиан, он по своей полноте в эту дверь на чердак не пройдет.","Разумеется, надо смотреть, чтобы крест-накрест брызгал и приговаривал. А он ведь, отец-то Флавиан, он по своей полноте в эту дверь на чердак не пройдет.",neutral
768,"Друзья, да что ж мы! да вы... ну что ж такое! Что на него, на невежу, смотреть! из вас кто-нибудь... раз-два-три... Господи благослови! Ягодка-то ведь какая... видели?","Друзья, да что ж мы! <i>— воскликнул он, простирая к нам руки, — </i>да вы... ну что ж такое! Что на него, на невежу, смотреть! из вас кто-нибудь... раз-два-три... Господи благослови! Ягодка-то ведь какая... видели?",disgust
769,"Вот-с, в контракте сказано, что на ваш счет, Тысячу триста пятьдесят четыре рубля двадцать восемь копеек ассигнациями всего-с! — кротко заключил он, спрятав обе руки с контрактом назади.","Вот-с, в контракте сказано, что на ваш счет, <i>—- сказал Иван Матвеевич, издали показывая пальцем в бумаге, где это сказано. — </i>Тысячу триста пятьдесят четыре рубля двадцать восемь копеек ассигнациями всего-с! — кротко заключил он, спрятав обе руки с контрактом назади.",neutral
770,"А счастье, от которого вы с ума сходите? А эти утра и вечера, этот парк, а мое люблю — все это ничего не стоит, никакой цены, никакой жертвы, никакой боли?","А счастье, от которого вы с ума сходите? <i>— продолжала она. — </i>А эти утра и вечера, этот парк, а мое люблю — все это ничего не стоит, никакой цены, никакой жертвы, никакой боли?",sadness
771,"Пожалуй, только на этот раз вполне добровольно и сознательно. А может быть, и вы подчините меня себе.","Пожалуй, <i>— ответил он весело, — </i>только на этот раз вполне добровольно и сознательно. А может быть, и вы подчините меня себе.",joy
772,"Я лучше в воскресенье, Илья Ильич...","Я лучше в воскресенье, Илья Ильич...",neutral
773,"Посмотрите, все эти идущие, едущие, снующие взад и вперед, все эти живые, не полинявшие люди — все за меня! Идите же к ним, кузина, а не от них назад! Там жизнь... — А здесь кладбище.","Посмотрите, все эти идущие, едущие, снующие взад и вперед, все эти живые, не полинявшие люди — все за меня! Идите же к ним, кузина, а не от них назад! Там жизнь... — <i>Он опустил портьеру. — </i>А здесь кладбище.",sadness
774,Суды земля-с. Земли касаться не следует-с.,Суды <i>— всенепременно-с. Но земство — </i>земля-с. Земли касаться не следует-с.,neutral
775,"Да, если б ты не был жалок.","Да, если б ты не был жалок.",disgust
776,"Постойте, постойте! Бежать хорошо, но именно, как вы сказали, надо «лучше бежать», а не кое-как.","Постойте, постойте! <i>— отвечал ей спокойно, соображая и обдумывая, Горданов. — </i>Бежать хорошо, но именно, как вы сказали, надо «лучше бежать», а не кое-как.",neutral
777,Шиш взяли!,Шиш взяли!,disgust
778,"То святый дух, а то Святодух. Святодух иное, тот может и другою птицей снизойти: ино ласточкой, ино щеглом, а ино и синицею.","То святый дух, а то Святодух. Святодух иное, тот может и другою птицей снизойти: ино ласточкой, ино щеглом, а ино и синицею.",neutral
779,"Именно, именно, вы совершенно правы.","Именно, именно, вы совершенно правы.",joy
780,"Вот-с, в контракте сказано, что на ваш счет, ","Вот-с, в контракте сказано, что на ваш счет, <i>— сказал Иван Матвеевич, издали показывая пальцем в бумаге, где это сказано. — </i>Тысячу триста пятьдесят четыре рубля двадцать восемь копеек ассигнациями всего-с!<i> — кротко заключил он, спрятав обе руки с контрактом назади.</i>",neutral
781,Не знал; я наугад сказал.,Не знал; я наугад сказал.,neutral
782,Это вам... Ламберт... ,"Это вам... Ламберт... <i>— пробормотал я, краснея.</i>",fear
783,"Анна, я прошу тебя не говорить неуважительно о моей матери.","Анна, я прошу тебя не говорить неуважительно о моей матери.",anger
784,Пей да уходи скорей.,Пей да уходи скорей.,disgust
785,"Так ты отказываешь в том, что обещал?","Так ты отказываешь в том, что обещал?",surprise
786,"Да ведь нехорошо тебе, Анатолий, пожалуйста, не кури.","Да ведь нехорошо тебе, Анатолий, <i>— сказала Марья Павловна, — </i>пожалуйста, не кури.",fear
787,Что же знает?,Что же знает?,neutral
788,"Ей-Богу, не знаю... Вы сами...","Ей-Богу, не знаю... Вы сами...",neutral
789,"О, разумеется, не примет!.. если ты сам к нему приедешь, но если он тебя позовет, тогда, надеюсь, будет другое дело. Пришли ко мне, пожалуйста, Висленева... его я могу принимать, и заставлю его быть трубой твоей славы.","О, разумеется, не примет!.. если ты сам к нему приедешь, но если он тебя позовет, тогда, надеюсь, будет другое дело. Пришли ко мне, пожалуйста, Висленева... его я могу принимать, и заставлю его быть трубой твоей славы.",sadness
790,"Разумеется, у ее брата есть усы и шпоры, он может звякнуть шпорами и жениться.","Разумеется, у ее брата есть усы и шпоры, он может звякнуть шпорами и жениться.",neutral
791,Что же вам в них нравится?,Что же вам в них нравится?,surprise
792,Гм. И это я вас разбудил?,Гм. И это я вас разбудил?,surprise
793,"Да вы меня за сумасшедшую принимаете, что ли? ","Да вы меня за сумасшедшую принимаете, что ли? <i>— едва проговорила Марья Александровна, задыхаясь от злости. Это уже было свыше сил человеческих. Она поспешила отыскать стул и упала в обморок. Поднялась суматоха.</i>",anger
794,Но я не понимаю одного: почему вы предпочитаете проект упразднения проекту уничтожения?,Но я не понимаю одного: почему вы предпочитаете проект упразднения проекту уничтожения?,surprise
795,"Придется к полиции обратиться, а пожалуй, и за воинской командой нужно будет послать.","Придется к полиции обратиться, <i>— решил он, — </i>а пожалуй, и за воинской командой нужно будет послать.",neutral
796,"Я получил твое письмо, Лев Николаич; ты это всё напрасно... и охота тебе!.. А теперь я к тебе от нее: беспременно велит тебя звать; что-то сказать тебе очень надо. Сегодня же и просила.","Я получил твое письмо, Лев Николаич; ты это всё напрасно... и охота тебе!.. А теперь я к тебе от нее: беспременно велит тебя звать; что-то сказать тебе очень надо. Сегодня же и просила.",disgust
797,"Да где же эта сила, Поль? ","Да где же эта сила, Поль? <i>— воскликнул он почти со слезами на глазах.</i>",sadness
798,И прекрасно!.. Любезный барон!..,И прекрасно!.. Любезный барон!..,joy
799,"Ах, как же вы это, Михал Иванович, как же бросить, ежели он жив; да и убит, так все-таки тело надо было взять, — как хотите, ведь он ординарец генерала и еще жив, может.","Ах, как же вы это, Михал Иванович, <i>— сказал Михайлов сердито, — </i>как же бросить, ежели он жив; да и убит, так все-таки тело надо было взять, — как хотите, ведь он ординарец генерала и еще жив, может.",anger
800,"Я не признаю никакой обязанности давать черт знает кому отчет, никто меня не может отпускать на волю.","Я не признаю никакой обязанности давать черт знает кому отчет, <i>— проговорил он наотрез, — </i>никто меня не может отпускать на волю.",disgust
801,Что вы хотите слышать от меня? ,Что вы хотите слышать от меня? <i>— произнес он беззвучным голосом.</i>,sadness
802,Как она хороша!,Как она хороша!,joy
803,"Помилуйте, да в чем же тут дело-то? из-за чего поднимать суд и расправу? Ведь вы здесь новый человек... Извините меня, я вам не советы навязывать хочу, а предупреждаю вас как нового своего согражданина и товарища...","Помилуйте, да в чем же тут дело-то? из-за чего поднимать суд и расправу? Ведь вы здесь новый человек... Извините меня, я вам не советы навязывать хочу, а предупреждаю вас как нового своего согражданина и товарища...",sadness
804,"То была хороша, а теперь еще похорошела?","То была хороша, а теперь еще похорошела?",joy
805,"Одно слово, одно только слово от вас, ","Одно слово, одно только слово от вас, <i>— и я спасен.</i>",neutral
806,"И это Ставрогин, «кровопийца Ставрогин», как называет вас здесь одна дама, которая в вас влюблена! Слушайте, я ведь вам уже сказала: я разочла мою жизнь на один только час и спокойна. Разочтите и вы так свою... Впрочем, вам не для чего; у вас так еще много будет разных «часов» и «мгновений».","И это Ставрогин, «кровопийца Ставрогин», как называет вас здесь одна дама, которая в вас влюблена! Слушайте, я ведь вам уже сказала: я разочла мою жизнь на один только час и спокойна. Разочтите и вы так свою... Впрочем, вам не для чего; у вас так еще много будет разных «часов» и «мгновений».",sadness
807,"У меня нет никаких пристрастий и я не раб никаких партий: я уважаю и люблю всех искренних и честных людей на свете, лишь бы они желали счастия ближним и верили в то, о чем говорят.","У меня нет никаких пристрастий и я не раб никаких партий: я уважаю и люблю всех искренних и честных людей на свете, лишь бы они желали счастия ближним и верили в то, о чем говорят.",neutral
808,"Надо бы так устроить жизнь, чтобы каждое мгновение в ней было значительно, ","Надо бы так устроить жизнь, чтобы каждое мгновение в ней было значительно, <i>— произнес задумчиво Аркадий.</i>",neutral
809,"Поздно будет, ","Поздно будет, <i>— настаивал доктор.</i>",neutral
810,"Прелесть! прелесть! Я вас представлю. Умница, богачка, вдова. К сожалению, она еще не довольно развита: ей бы надо с нашею Евдоксией поближе познакомиться. Пью ваше здоровье, Eudoxie! Чокнемтесь! «Et toc, et toc, et tin-tin-tin! Et toc, et toc, et tin-tin-tin!!.»","Прелесть! прелесть! <i>— запищал Ситников. — </i>Я вас представлю. Умница, богачка, вдова. К сожалению, она еще не довольно развита: ей бы надо с нашею Евдоксией поближе познакомиться. Пью ваше здоровье, Eudoxie! Чокнемтесь! «Et toc, et toc, et tin-tin-tin! Et toc, et toc, et tin-tin-tin!!.»",joy
811,"Буки, ","Буки, <i>— проговорил Висленев.</i>",disgust
812,"Немного? Он у одних хлыновских восемьдесят десятин нанимает да у наших сто двадцать; вот те и целых полтораста десятин. Да он не одной землей промышляет: и лошадьми промышляет, и скотом, и дегтем, и маслом, и пенькой, и чем-чем... Умен, больно умен, и богат же, бестия! Да вот чем плох не человек; сказано: собака, пес, как есть пес.","Немного? Он у одних хлыновских восемьдесят десятин нанимает да у наших сто двадцать; вот те и целых полтораста десятин. Да он не одной землей промышляет: и лошадьми промышляет, и скотом, и дегтем, и маслом, и пенькой, и чем-чем... Умен, больно умен, и богат же, бестия! Да вот чем плох <i>— дерется. Зверь — </i>не человек; сказано: собака, пес, как есть пес.",disgust
813,Но ведь вы не боитесь?,Но ведь вы не боитесь?,surprise
814,"Главное, друг мой, береги здоровье! mens sana in corpore sano. Будешь здоров, и житься будет веселее, и все пойдет у тебя ладком да мирком!","Главное, друг мой, береги здоровье! <i>— твердил ему отец, — </i>mens sana in corpore sano. Будешь здоров, и житься будет веселее, и все пойдет у тебя ладком да мирком!",joy
815,"Ну, да, это всё пустяки, А что Денисов хороший? — спросила она.","Ну, да, это всё пустяки, <i>— продолжала болтать Наташа. — </i>А что Денисов хороший? — спросила она.",neutral
816,"Э, полноте!","Э, полноте!",anger
817,А вы решительно едете завтра? ,А вы решительно едете завтра? <i>— спросил Вронский.</i>,neutral
818,"Не только не желаю, но даже не понимаю, при чем тут кутузка.","Не только не желаю, но даже не понимаю, при чем тут кутузка.",neutral
819,"Ну, выходи...","Ну, выходи...",neutral
820,"Он заговор знает, ","Он заговор знает, <i>— сказал медлительный голос Васина из другого угла.</i>",neutral
821,"Ну что, опять побили?","Ну что, опять побили?",sadness
822,"Он приехал, — посидите, должен сейчас принести.","Он приехал, — посидите, должен сейчас принести.<i> Я присел и пересматриваю кое-какое книжное старье, как вдруг слышу, говорят:</i>",neutral
823,"Да вы думаете, им будут доступны движенья благороднейшие, чем каверзничать и наживаться? Поверьте, они надо мной посмеются.","Да вы думаете, им будут доступны движенья благороднейшие, чем каверзничать и наживаться? Поверьте, они надо мной посмеются.",disgust
824,Пришел объясниться...,Пришел объясниться...,neutral
825,"Прощайте, бабушка, ","Прощайте, бабушка, <i>— повернулся я уходить.</i>",sadness
826,"Виноват... Миль пардон... Нынче и купцы стали ходить в партикулярном, так что сам Ной не сумел бы отделить чистых от нечистых. Но тем лучше, что вы интеллигент... Мы поймем друг друга... Я тоже из благородных... Обер-офицерский сын и в свое время был представлен к чину XIV класса... Итак, милорд, артист художеств предлагает вам свои услуги... Один прыжок в воду, и перед вами картина.","Виноват... Миль пардон... Нынче и купцы стали ходить в партикулярном, так что сам Ной не сумел бы отделить чистых от нечистых. Но тем лучше, что вы интеллигент... Мы поймем друг друга... Я тоже из благородных... Обер-офицерский сын и в свое время был представлен к чину XIV класса... Итак, милорд, артист художеств предлагает вам свои услуги... Один прыжок в воду, и перед вами картина.",sadness
827,"Мать, горе горюет, а детское добро бережет.","Мать, <i>— говорили крестьяне, — </i>горе горюет, а детское добро бережет.",sadness
828,"Надо мной-то сжальтесь, ","Надо мной-то сжальтесь, <i>— горько упрекнула Катя и заплакала.</i>",sadness
829,"Каково? Ведь это ужасно! Женщина, которую они держат семь месяцев в одиночном заключении, оказывается, ни в чем не виновата, и, чтобы ее выпустить, надо было сказать только слово.","Каково? <i>— сказал Нехлюдов адвокату. — </i>Ведь это ужасно! Женщина, которую они держат семь месяцев в одиночном заключении, оказывается, ни в чем не виновата, и, чтобы ее выпустить, надо было сказать только слово.",disgust
830,Вы... это мне-с? ,Вы... это мне-с? <i>— пробормотал изумленный помещик Максимов.</i>,surprise
831,"Говорил? А! Ведь в самом деле я... намекал. Так, значит, я сделал свое дело.","Говорил? А! Ведь в самом деле я... намекал. Так, значит, я сделал свое дело.",joy
832,"Что ж вы стали? Идите со мной, ","Что ж вы стали? Идите со мной, <i>— сказала она.</i>",neutral
833,"Ну, еще разговаривает, образина! ","Ну, еще разговаривает, образина! <i>— говорил Тарантьев и поднял ногу, чтоб сзади ударить проходившего мимо Захара; но Захар остановился, обернулся к нему и ощетинился.</i>",disgust
834,Что ты!!,Что ты!!,fear
835,"Тебя, говорят, раскольников учить прислали?","Тебя, говорят, раскольников учить прислали?",neutral
836,"Да, я хотел вам сказать... да, право, не умею, как выразить...","Да, я хотел вам сказать... да, право, не умею, как выразить...",neutral
837,"Вам бы писать водевили, ","Вам бы писать водевили, <i>— заметила хозяйка Ставрогину.</i>",joy
838,Нет! Мне только все грустно.,Нет! Мне только все грустно.,sadness
839,Когда же ты успел его так скоро купить?,Когда же ты успел его так скоро купить?,surprise
840,Ну теперь уж сами поищите...,Ну теперь уж сами поищите...,neutral
841,"Довольно, довольно, ","Довольно, довольно, <i>— все повторял Петр Степанович.</i>",neutral
842,А! Вот и они! ,"А! Вот и они! <i>— в конце уже обеда сказал Степан Аркадьич, перегибаясь через спинку стула и протягивая руку шедшему к нему Вронскому с высоким гвардейским полковником. В лице Вронского светилось тоже общее клубное веселое добродушие. Он весело облокотился на плечо Степану Аркадьичу, что-то шепча ему, и с тою же веселою улыбкой протянул руку Левину.</i>",joy
843,"Благодетельница! Жив еще, жив мой Евгений и теперь будет спасен! Жена! жена!.. К нам ангел с неба...","Благодетельница! <i>— воскликнул Василий Иванович и, схватив ее руку, судорожно прижал ее к своим губам, между тем как привезенный Анной Сергеевной доктор, маленький человек в очках, с немецкою физиономией, вылезал не торопясь из кареты. — </i>Жив еще, жив мой Евгений и теперь будет спасен! Жена! жена!.. К нам ангел с неба...",joy
844,Я тебя убью! ,"Я тебя убью! <i>— закричал он, и схватив со стола мраморную доску, с неизвестной еще ему силой, сделал шаг к ней и замахнулся на нее.</i>",anger
845,"Я знаю, что вы спешите в острог, а вас два часа задержала мама, сейчас вам про меня и про Юлию рассказала.","Я знаю, что вы спешите в острог, <i>— резко проговорила Лиза, — </i>а вас два часа задержала мама, сейчас вам про меня и про Юлию рассказала.",sadness
846,"И вы, и вы, с вашим воспитанием, с вашими правилами, могли решиться на такой поступок? О боже мой!","И вы, и вы, с вашим воспитанием, с вашими правилами, могли решиться на такой поступок? О боже мой!",disgust
847,"Да, вам. Подите сюда, я вам что-то скажу! ","Да, вам. Подите сюда, я вам что-то скажу! <i>— позвала его еще настойчивее, кивнув пальцем, Глаша.</i>",neutral
848,"Кто виноват? Никто, Скажите прокурору — он скажет, что виноват губернатор, скажите губернатору — он скажет, что виноват прокурор. Никто не виноват.","Кто виноват? Никто, <i>— сказал он решительно. — </i>Скажите прокурору — он скажет, что виноват губернатор, скажите губернатору — он скажет, что виноват прокурор. Никто не виноват.",neutral
849,"Что ж! от скуки, ","Что ж! от скуки, <i>— по крайности не думается.</i>",neutral
850,А! Вот что! Разве вы ездите верхом?,А! Вот что! Разве вы ездите верхом?,surprise
851,Да я это с ваших слов говорила.,Да я это с ваших слов говорила.,neutral
852,"Да-с, маменька, снял. И ах как снял! ","Да-с, маменька, снял. И ах как снял! <i>— сшиб его в одну минуту с ног, рот рукавом заткнул, чтобы он не кричал, а другою рукою за пазухой обвел и часы вынул, и тогда его вместе с дяденькой колотить начали.</i>",joy
853,"Ну, и все гибнет. В судах воровство, в армии одна палка: шагистика, поселения, — мучат народ, просвещение душат. Что молодо, честно, то губят! Все видят, что это не может так идти. Все слишком натянуто и непременно лопнет, ","Ну, и все гибнет. В судах воровство, в армии одна палка: шагистика, поселения, — мучат народ, просвещение душат. Что молодо, честно, то губят! Все видят, что это не может так идти. Все слишком натянуто и непременно лопнет, <i>— говорил Пьер (как, с тех пор как существует правительство, вглядевшись в действия какого бы то ни было правительства, всегда говорят люди).</i>",sadness
854,"И в самом деле, пора кончать суд, ","И в самом деле, пора кончать суд, <i>— зашумели судьи.</i>",neutral
855,"От того чувства, которое есть во мне, в нем, в каждом солдате.","От того чувства, которое есть во мне, в нем, <i>— он указал на Тимохина, — </i>в каждом солдате.",neutral
856,"Нет, они думают, что я все позабыл...","Нет, они думают, что я все позабыл...",neutral
857,Хорошо там! ,"Хорошо там! <i>— сказал Яшенька, подходя к окну и бессознательно измеряя глазами расстояние, отделявшее окно от земли.</i>",joy
858,Блудня! прочь от меня! ,"Блудня! прочь от меня! <i>— вскрикнула с омерзением Платонида, почувствовав на своей груди трясущуюся сухую бороду свекра.</i>",disgust
859,"Очень рад! не торопитесь, я подожду хоть час!","Очень рад! <i>— отозвался Тушин, слезая с лошади, — </i>не торопитесь, я подожду хоть час!",joy
860,"И это, mon oncle, опять-таки преувеличение. Напротив,","И это, mon oncle, опять-таки преувеличение. Напротив,",neutral
861,"Это все в божьей власти, ","Это все в божьей власти, <i>— промолвила она.</i>",neutral
862,"Да уж насчет чего другого, а насчет смётки это именно, что против русского другому не выйти. Возьмем, например, хоть простого плотника...","Да уж насчет чего другого, а насчет смётки это именно, что против русского другому не выйти. Возьмем, например, хоть простого плотника...",neutral
863,Да прикажите же руки-то развязать! ,Да прикажите же руки-то развязать! <i>— взмолился наконец Глумов.</i>,fear
864,Где ж ты поселишься?,Где ж ты поселишься?,surprise
865,"Но теперь уже решительно, ","Но теперь уже решительно, <i>— сказала Анна, глядя прямо в глаза Вронскому таким взглядом, который говорил ему, чтобы он и не думал о возможности примирения.</i>",neutral
866,"Я здесь не скучаю, мсье le general.","Я здесь не скучаю, мсье le general.",neutral
867,"Тутошний я, сударь, тутошний. Только ты это не дело, писарек, говоришь про странников-то! Такая ли это материя, чтоб насчет ее, одного баловства ради, речь заводить!","Тутошний я, сударь, тутошний. Только ты это не дело, писарек, говоришь про странников-то! Такая ли это материя, чтоб насчет ее, одного баловства ради, речь заводить!",neutral
868,"Пустите, пустите меня! ","Пустите, пустите меня! <i>— взмолилась я, наконец.</i>",fear
869,"Нет, пожалуйста! Уходи!","Нет, пожалуйста! Уходи!",anger
870,Вы теперь от папа? ,Вы теперь от папа? <i>— вдруг спросила она.</i>,neutral
871,"Татьяна Павловна, не смейте браниться! Может быть, вы-то, с вашею бранью, с самого начала и были причиною моего здешнего ожесточения. Да, я — побочный сын и, может быть, действительно хотел отмстить за то, что побочный сын, и действительно, может быть, какому-то Черту Ивановичу, потому что сам черт тут не найдет виноватого; но вспомните, что я отверг союз с мерзавцами и победил свои страсти! Я молча положу перед нею документ и уйду, даже не дождавшись от нее слова; вы будете сами свидетельницей!","Татьяна Павловна, <i>— вскричал я, — </i>не смейте браниться! Может быть, вы-то, с вашею бранью, с самого начала и были причиною моего здешнего ожесточения. Да, я — побочный сын и, может быть, действительно хотел отмстить за то, что побочный сын, и действительно, может быть, какому-то Черту Ивановичу, потому что сам черт тут не найдет виноватого; но вспомните, что я отверг союз с мерзавцами и победил свои страсти! Я молча положу перед нею документ и уйду, даже не дождавшись от нее слова; вы будете сами свидетельницей!",anger
872,От Стивы? ,От Стивы? <i>— с удивлением спросила Дарья Александровна.</i>,surprise
873,"Нет, лестно, даже очень лестно. Помилуй! ты гарцуешь, а Кузьки — без шапок в спасительном страхе обретаются... какой картины еще лучше желать!","Нет, лестно, даже очень лестно. Помилуй! ты гарцуешь, а Кузьки — без шапок в спасительном страхе обретаются... какой картины еще лучше желать!",joy
874,"Нет, мама, мне так жалко его. Я не знаю, как я скажу.","Нет, мама, мне так жалко его. Я не знаю, как я скажу.",sadness
875,"Прощайте, Аграфена Ивановна! ","Прощайте, Аграфена Ивановна! <i>— сказал протяжно, возвысив голос, Евсей и протянул к ней руки.</i>",sadness
876,"Выходи с хлебом-солью, ребята!","Выходи с хлебом-солью, ребята!",joy
877,"А кто тебе сказал, что ты имеешь право? Да по-твоему, ты, пожалуй, скажешь, что имеешь право амуриться с благородною девицей? У тебя губа-то не дура, голубчик! Знаешь, что у нее коко с соком, так и подлипаешь... да нет, и в Писании сказано!","А кто тебе сказал, что ты имеешь право? Да по-твоему, ты, пожалуй, скажешь, что имеешь право амуриться с благородною девицей? У тебя губа-то не дура, голубчик! Знаешь, что у нее коко с соком, так и подлипаешь... да нет, <i>— не удалось, видно... бог тебя накажет за это: гордым бог противится — </i>и в Писании сказано!",disgust
878,Как это утащили?,Как это утащили?,surprise
879,"Да, скажите, пожалуйста, что с нами, собственно говоря, в Вержболове делать будут? — интересовался Сергей Федорыч.","Да, скажите, пожалуйста, <i>— я ведь за границей-то в первый раз — </i>что с нами, собственно говоря, в Вержболове делать будут? — интересовался Сергей Федорыч.",neutral
880,"Друг мой, я и сам-то рвался к тебе. Вот только кончу с Видоплясовым, и тогда наговоримся досыта. Много надо тебе рассказать.","Друг мой, я и сам-то рвался к тебе. Вот только кончу с Видоплясовым, и тогда наговоримся досыта. Много надо тебе рассказать.",neutral
881,Ты разве уж там простилась?,Ты разве уж там простилась?,surprise
882,"У вас клюет, смотрите, Александр Федорыч! ","У вас клюет, смотрите, Александр Федорыч! <i>— вдруг шепотом сказал Костяков.</i>",joy
883,"Вот письмо мне нужно в ящик, ","Вот письмо мне нужно в ящик, <i>— отвечал Борноволоков.</i>",neutral
884,Много ли придачи дал? ,Много ли придачи дал? <i>— спрашивал Оленин.</i>,neutral
885,"Вам кланяются Александра Васильевна, Матрена Михайловна, Петр Сергеич, ","Вам кланяются Александра Васильевна, Матрена Михайловна, Петр Сергеич, <i>— сказал он.</i>",neutral
886,Да зачем же против себя говорить?,Да зачем же против себя говорить?,disgust
887,Куда же я пойду? К нему я не могу идти.,Куда же я пойду? <i>— прошептала она. — </i>К нему я не могу идти.,fear
888,"Так много слышали интересного, Вы помните меня?","Так много слышали интересного, <i>— говорила она, смело глядя на него. — </i>Вы помните меня?",neutral
889,Мне нужно видеть Екатерину Маслову.,Мне нужно видеть Екатерину Маслову.,neutral
890,"Мы, ваше превосходительство, народ-то не из книжек знаем! Мы его видели — вот как! мы в курных избах, ваше превосходительство, ночевывали! мы хлеб с лебедой едали! — говорили мы бойко и весело.","Мы, ваше превосходительство, народ-то не из книжек знаем! Мы его видели — вот как<i> (рука поднимается и ставится на недалеком расстоянии перед глазами, ладонью внутрь)</i>! мы в курных избах, ваше превосходительство, ночевывали! мы хлеб с лебедой едали! — говорили мы бойко и весело.",joy
891,Уехал? Ну и хорошо! ,"Уехал? Ну и хорошо! <i>— сказал он, сердито посмотрев на бесчувственную маленькую княгиню, укоризненно покачал головою и захлопнул дверь.</i>",disgust
892,"Нет, мне и есть не хочется. Я там поел. А вот пойду умоюсь.","Нет, мне и есть не хочется. Я там поел. А вот пойду умоюсь.",neutral
893,"Вы поедете куда-нибудь лечиться... Вам нужно лечиться. Возьмете? Да? Голубчик, да?","Вы поедете куда-нибудь лечиться... Вам нужно лечиться. Возьмете? Да? Голубчик, да?",sadness
